name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
FLAG_DOCUMENT_13,int64,2 (0.00%),0 (0.00%),0 (0.00%),306427 (99.65%),0.0,0.0,0.0,307511.0,1.0,0.003525077151711646,0.0,0.059267718073907814,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_14,int64,2 (0.00%),0 (0.00%),0 (0.00%),306608 (99.71%),0.0,0.0,0.0,307511.0,1.0,0.0029364803210291664,0.0,0.054109767376285214,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_15,int64,2 (0.00%),0 (0.00%),0 (0.00%),307139 (99.88%),0.0,0.0,0.0,307511.0,1.0,0.0012097128232811183,0.0,0.03475993882766619,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_16,int64,2 (0.00%),0 (0.00%),0 (0.00%),304458 (99.01%),0.0,0.0,0.0,307511.0,1.0,0.009928100133003373,0.0,0.09914416233781621,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_17,int64,2 (0.00%),0 (0.00%),0 (0.00%),307429 (99.97%),0.0,0.0,0.0,307511.0,1.0,0.0002666571277125046,0.0,0.016327488741600966,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_18,int64,2 (0.00%),0 (0.00%),0 (0.00%),305011 (99.19%),0.0,0.0,0.0,307511.0,1.0,0.008129790479039774,0.0,0.08979823610939226,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_19,int64,2 (0.00%),0 (0.00%),0 (0.00%),307328 (99.94%),0.0,0.0,0.0,307511.0,1.0,0.0005951006630657115,0.0,0.024387465065840774,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_20,int64,2 (0.00%),0 (0.00%),0 (0.00%),307355 (99.95%),0.0,0.0,0.0,307511.0,1.0,0.0005072989258920819,0.0,0.022517620268457914,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_21,int64,2 (0.00%),0 (0.00%),0 (0.00%),307408 (99.97%),0.0,0.0,0.0,307511.0,1.0,0.0003349473677364387,0.0,0.01829853182241794,0,0,0,0,0,0,0,0,0,0
AMT_REQ_CREDIT_BUREAU_HOUR,float64,5 (0.00%),41519 (13.50%),0 (0.00%),264366 (85.97%),0.0,0.0,0.0,265992.0,4.0,0.006402448193930645,0.0,0.08384912844777125,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,float64,9 (0.00%),41519 (13.50%),0 (0.00%),264503 (86.01%),0.0,0.0,0.0,265992.0,9.0,0.0070002105326475985,0.0,0.11075740632418819,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,float64,9 (0.00%),41519 (13.50%),0 (0.00%),257456 (83.72%),0.0,0.0,0.0,265992.0,8.0,0.0343619356973142,0.0,0.20468487581284914,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_MON,float64,24 (0.01%),41519 (13.50%),0 (0.00%),222233 (72.27%),0.0,0.0,0.0,265992.0,27.0,0.26739526000781977,0.0,0.9160023961540442,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,float64,11 (0.00%),41519 (13.50%),0 (0.00%),215417 (70.05%),0.0,0.0,0.0,265992.0,261.0,0.26547414959848414,0.0,0.7940556483196873,0.0,0.0,0.0,,1.0,0.0,,0.0,1.0,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,float64,25 (0.01%),41519 (13.50%),0 (0.00%),71801 (23.35%),0.0,1.0,3.0,265992.0,25.0,1.899974435321363,0.0,1.869294998182222,1.0,0.0,5.0,,1.0,3.0,,1.0,1.0,1.0
